                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6544,                 2.7708,                 1.2777,                0.66761,                0.41535,                0.40235,                0.19131,                    nan,                    nan,                    nan,              0.0033306,              0.0033306,              0.0033306
                      2,                 1.6639,                  1.755,                 1.3069,                0.65391,                0.44944,                0.43119,                0.20503,                    nan,                    nan,                    nan,              0.0065979,              0.0065979,              0.0065979
                      3,                 1.7107,                  1.518,                 1.3554,                0.57972,                0.41288,                0.41073,                0.18666,                    nan,                    nan,                    nan,              0.0097993,              0.0097993,              0.0097993
                      4,                 1.7609,                 1.4831,                 1.3924,                0.65438,                 0.4058,                0.40279,                 0.2058,                    nan,                    nan,                    nan,               0.009703,               0.009703,               0.009703
                      5,                 1.7299,                 1.3721,                 1.3814,                 0.7503,                0.45592,                0.46422,                0.19932,                    nan,                    nan,                    nan,               0.009604,               0.009604,               0.009604
                      6,                 1.6534,                 1.2638,                  1.354,                0.62903,                0.45476,                0.45083,                0.21933,                    nan,                    nan,                    nan,               0.009505,               0.009505,               0.009505
                      7,                 1.6356,                 1.2055,                 1.3408,                0.71166,                0.49426,                0.50183,                0.25905,                    nan,                    nan,                    nan,               0.009406,               0.009406,               0.009406
                      8,                 1.5872,                 1.1373,                 1.3064,                0.61133,                0.45319,                0.43078,                0.22103,                    nan,                    nan,                    nan,               0.009307,               0.009307,               0.009307
                      9,                 1.5609,                 1.0836,                 1.2953,                0.70994,                0.46418,                0.47918,                0.25631,                    nan,                    nan,                    nan,               0.009208,               0.009208,               0.009208
                     10,                 1.5565,                  1.083,                 1.2882,                0.70808,                0.47837,                0.51949,                0.27763,                    nan,                    nan,                    nan,               0.009109,               0.009109,               0.009109
                     11,                  1.534,                 1.0347,                 1.2706,                0.76088,                0.47502,                 0.4739,                0.23767,                    nan,                    nan,                    nan,                0.00901,                0.00901,                0.00901
                     12,                 1.5149,                 1.0241,                 1.2624,                0.78351,                0.50524,                0.50977,                0.26253,                    nan,                    nan,                    nan,               0.008911,               0.008911,               0.008911
                     13,                 1.4855,                0.98565,                 1.2442,                0.71705,                0.49361,                0.50329,                0.25959,                    nan,                    nan,                    nan,               0.008812,               0.008812,               0.008812
                     14,                 1.4899,                0.97963,                 1.2518,                0.78371,                0.47016,                0.50757,                0.27207,                    nan,                    nan,                    nan,               0.008713,               0.008713,               0.008713
                     15,                 1.4594,                0.95499,                 1.2288,                0.81996,                0.49136,                0.52791,                0.27416,                    nan,                    nan,                    nan,               0.008614,               0.008614,               0.008614
                     16,                 1.4405,                0.92883,                  1.225,                0.81742,                0.51311,                0.53273,                0.28221,                    nan,                    nan,                    nan,               0.008515,               0.008515,               0.008515
                     17,                 1.4382,                0.92401,                 1.2223,                0.80438,                0.51953,                0.52225,                0.28575,                    nan,                    nan,                    nan,               0.008416,               0.008416,               0.008416
                     18,                 1.4305,                0.91156,                 1.2131,                0.81833,                0.49675,                0.52373,                0.27881,                    nan,                    nan,                    nan,               0.008317,               0.008317,               0.008317
                     19,                 1.4172,                0.88822,                 1.2054,                0.78676,                0.50404,                0.52317,                0.27562,                    nan,                    nan,                    nan,               0.008218,               0.008218,               0.008218
                     20,                 1.4105,                 0.8802,                 1.1989,                0.81553,                0.52312,                0.53455,                0.28025,                    nan,                    nan,                    nan,               0.008119,               0.008119,               0.008119
                     21,                 1.3995,                0.86048,                 1.1962,                0.77785,                0.51527,                0.54321,                0.30618,                    nan,                    nan,                    nan,                0.00802,                0.00802,                0.00802
                     22,                 1.3752,                0.85916,                 1.1806,                0.78163,                0.51767,                0.54422,                0.29591,                    nan,                    nan,                    nan,               0.007921,               0.007921,               0.007921
                     23,                 1.3795,                0.84722,                 1.1839,                0.80384,                0.52053,                0.51788,                0.28373,                    nan,                    nan,                    nan,               0.007822,               0.007822,               0.007822
                     24,                 1.3646,                0.82719,                 1.1757,                 0.7784,                0.52104,                0.54618,                0.29033,                    nan,                    nan,                    nan,               0.007723,               0.007723,               0.007723
                     25,                 1.3689,                0.83425,                 1.1791,                0.79626,                0.52662,                0.54607,                 0.2938,                    nan,                    nan,                    nan,               0.007624,               0.007624,               0.007624
                     26,                 1.3447,                0.81564,                 1.1667,                0.74218,                0.50998,                0.53376,                0.29581,                    nan,                    nan,                    nan,               0.007525,               0.007525,               0.007525
                     27,                 1.3442,                0.80938,                 1.1659,                0.85648,                 0.4976,                0.55568,                0.30962,                    nan,                    nan,                    nan,               0.007426,               0.007426,               0.007426
                     28,                 1.3371,                0.79559,                 1.1611,                0.81022,                0.53408,                0.54474,                0.29475,                    nan,                    nan,                    nan,               0.007327,               0.007327,               0.007327
